Cluster;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
VIP;GO:0060147;regulation of posttranscriptional gene silencing;9/292;124/18862;0.000135381;0.006883311;0.006042872;EIF4E2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/RIPK1;9
VIP;GO:0006611;protein export from nucleus;11/292;183/18862;0.000136939;0.006883311;0.006042872;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/PRKACA/RAE1/SLU7/UPF1;11
VIP;GO:0060966;regulation of gene silencing by RNA;9/292;125/18862;0.000143938;0.007123848;0.00625404;EIF4E2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/RIPK1;9
VIP;GO:1902749;regulation of cell cycle G2/M phase transition;12/292;219/18862;0.000164461;0.008016236;0.00703747;AKAP9/BRD4/CDK5RAP2/CENPF/CEP135/CEP250/NINL/PCNT/PRKACA/PRKAR2B/PSMD8/RBX1;12
VIP;GO:0071426;ribonucleoprotein complex export from nucleus;9/292;130/18862;0.000193805;0.009305515;0.00816933;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/SLU7/UPF1;9
VIP;GO:0000086;G2/M transition of mitotic cell cycle;13/292;258/18862;0.000203387;0.009573048;0.008404197;AKAP9/BRD4/CDK5RAP2/CENPF/CEP135/CEP250/FBXL12/NINL/PCNT/PRKACA/PRKAR2B/PSMD8/RBX1;13
VIP;GO:0071166;ribonucleoprotein complex localization;9/292;131/18862;0.000205328;0.009573048;0.008404197;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/SLU7/UPF1;9
VIP;GO:1903829;positive regulation of cellular protein localization;14/292;295/18862;0.000217244;0.009744524;0.008554736;ACSL3/ARF6/CEP250/CSNK2A2/ITGB1/LARP7/MEPCE/NUP62/NUTF2/RDX/RTN4/STOM/VPS11/ZDHHC5;14
VIP;GO:0016180;snRNA processing;5/292;36/18862;0.000218575;0.009744524;0.008554736;EXOSC2/EXOSC3/EXOSC5/EXOSC8/INTS4;5
VIP;GO:0006110;regulation of glycolytic process;7/292;79/18862;0.000221886;0.009744524;0.008554736;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0016075;rRNA catabolic process;4/292;20/18862;0.000224151;0.009744524;0.008554736;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:0046931;pore complex assembly;4/292;20/18862;0.000224151;0.009744524;0.008554736;ANO6/NUP98/PDZD11/RTN4;4
VIP;GO:0009896;positive regulation of catabolic process;18/292;450/18862;0.000243307;0.010436237;0.009161993;ADAM9/FYCO1/GIGYF2/HECTD1/HMOX1/IDE/LARP1/MOV10/PABPC1/RAB7A/RBX1/RDX/RNF41/TBK1/UPF1/USP13/VPS11/ZYG11B;18
VIP;GO:0016925;protein sumoylation;7/292;81/18862;0.000259264;0.010939179;0.009603526;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0006402;mRNA catabolic process;16/292;375/18862;0.000263303;0.010939179;0.009603526;CSDE1/EXOSC2/EXOSC3/EXOSC5/EXOSC8/FASTKD5/GIGYF2/LARP1/LARP4B/MOV10/NUP214/PABPC1/PABPC4/PSMD8/RPL36/UPF1;16
VIP;GO:0019080;viral gene expression;11/292;198/18862;0.000272034;0.010939179;0.009603526;CSDE1/GTF2F2/LARP7/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/RPL36;11
VIP;GO:0050657;nucleic acid transport;11/292;198/18862;0.000272034;0.010939179;0.009603526;G3BP2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/RAE1/SLU7/UPF1;11
VIP;GO:0050658;RNA transport;11/292;198/18862;0.000272034;0.010939179;0.009603526;G3BP2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/RAE1/SLU7/UPF1;11
VIP;GO:0051168;nuclear export;11/292;201/18862;0.000309485;0.012141621;0.010659153;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/PRKACA/RAE1/SLU7/UPF1;11
VIP;GO:0051236;establishment of RNA localization;11/292;201/18862;0.000309485;0.012141621;0.010659153;G3BP2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/RAE1/SLU7/UPF1;11
VIP;GO:0031023;microtubule organizing center organization;9/292;140/18862;0.0003371;0.013065664;0.011470372;CDK5RAP2/CEP135/CEP250/CEP68/CHMP2A/GCC2/GOLGA2/NIN/NUP62;9
VIP;GO:0009101;glycoprotein biosynthetic process;15/292;347/18862;0.000355469;0.013613605;0.01195141;AATF/ALG11/ALG5/ALG8/CHPF/CHPF2/DPY19L1/EDEM3/GOLGA2/GORASP1/HS2ST1/HS6ST2/MOGS/POFUT1/UGGT2;15
VIP;GO:0006839;mitochondrial transport;13/292;274/18862;0.000363747;0.013766767;0.012085871;BCS1L/CSNK2A2/DNAJC19/GRPEL1/PITRM1/PMPCA/PMPCB/SLC25A21/STOML2/TIMM10/TIMM8B/TIMM9/VPS11;13
VIP;GO:0006405;RNA export from nucleus;9/292;142/18862;0.000374285;0.01400088;0.0122914;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/SLU7/UPF1;9
VIP;GO:1902850;microtubule cytoskeleton organization involved in mitosis;9/292;143/18862;0.000394109;0.014572974;0.012793642;CDK5RAP2/CHMP2A/GOLGA2/ITGB1/NUP62/PCNT/RAE1/RHOA/SUN2;9
VIP;GO:0031125;rRNA 3'-end processing;3/292;10/18862;0.000406534;0.01474473;0.012944427;EXOSC2/EXOSC3/EXOSC8;3
VIP;GO:0034383;low-density lipoprotein particle clearance;5/292;41/18862;0.000407921;0.01474473;0.012944427;AP2A2/AP2M1/HMOX1/NPC2/SCARB1;5
VIP;GO:0060968;regulation of gene silencing;9/292;144/18862;0.00041479;0.01482644;0.013016161;EIF4E2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/RIPK1;9
VIP;GO:0051656;establishment of organelle localization;17/292;431/18862;0.00042327;0.014963287;0.013136298;AP3B1/ATP6AP1/CDK5RAP2/CENPF/CHMP2A/FYCO1/GOLGA2/GORASP1/HMOX1/ITGB1/MARK1/NUP62/NUP88/RAB1A/SLC9A3R1/SUN2/TOR1A;17
VIP;GO:0043470;regulation of carbohydrate catabolic process;7/292;90/18862;0.000495038;0.017004412;0.014928206;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0010257;NADH dehydrogenase complex assembly;6/292;65/18862;0.000502001;0.017004412;0.014928206;ACAD9/BCS1L/ECSIT/NDUFAF1/NDUFAF2/NDUFB9;6
VIP;GO:0032981;mitochondrial respiratory chain complex I assembly;6/292;65/18862;0.000502001;0.017004412;0.014928206;ACAD9/BCS1L/ECSIT/NDUFAF1/NDUFAF2/NDUFB9;6
VIP;GO:0033157;regulation of intracellular protein transport;12/292;248/18862;0.000510749;0.017004412;0.014928206;CSNK2A2/ERLEC1/GCC2/GRIPAP1/NUP54/NUP62/NUTF2/OS9/PCNT/PRKACA/STOM/VPS11;12
VIP;GO:0000413;protein peptidyl-prolyl isomerization;5/292;43/18862;0.000510928;0.017004412;0.014928206;CWC27/FKBP10/FKBP15/FKBP7/PPIL3;5
VIP;GO:0019083;viral transcription;10/292;180/18862;0.000512722;0.017004412;0.014928206;GTF2F2/LARP7/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/RPL36;10
VIP;GO:0045039;protein insertion into mitochondrial inner membrane;3/292;11/18862;0.000552593;0.018139703;0.015924881;TIMM10/TIMM8B/TIMM9;3
VIP;GO:0043123;positive regulation of I-kappaB kinase/NF-kappaB signaling;10/292;182/18862;0.000558984;0.01816416;0.015946351;BRD4/DDX21/F2RL1/HMOX1/NDFIP2/NUP62/RHOA/RIPK1/SLC44A2/TBK1;10
VIP;GO:0045185;maintenance of protein location;7/292;92/18862;0.000565444;0.018190318;0.015969315;FBN1/FBN2/G3BP2/GPAA1/OS9/SUN2/TAPT1;7
VIP;GO:0098876;vesicle-mediated transport to the plasma membrane;7/292;93/18862;0.000603511;0.019196027;0.016852229;ACSL3/GOLGA7/GRIPAP1/RAB10/RAB7A/RAB8A/VPS39;7
VIP;GO:0015931;nucleobase-containing compound transport;12/292;253/18862;0.000609558;0.019196027;0.016852229;G3BP2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/RAE1/RIPK1/SLU7/UPF1;12
VIP;GO:0070972;protein localization to endoplasmic reticulum;9/292;152/18862;0.000614607;0.019196027;0.016852229;GPAA1/OS9/RAB10/RPL36/RTN4/SRP19/SRP54/SRP72/TAPT1;9
VIP;GO:1902115;regulation of organelle assembly;10/292;187/18862;0.000689949;0.021244608;0.018650683;CDK5RAP2/CEP135/CHMP2A/G3BP1/G3BP2/NUP62/RDX/TAPT1/TMEM39B/VPS11;10
VIP;GO:0034660;ncRNA metabolic process;18/292;492/18862;0.000698685;0.021244608;0.018650683;DDX10/DDX21/EXOSC2/EXOSC3/EXOSC5/EXOSC8/INTS4/LARP7/MDN1/MEPCE/MPHOSPH10/NARS2/NGDN/NOL10/PUSL1/RRP9/SEPSECS/TRMT1;18
VIP;GO:0006997;nucleus organization;8/292;124/18862;0.000700009;0.021244608;0.018650683;CHMP2A/NEK9/NUP54/NUP98/RTN4/SUN2/TOR1A/TOR1AIP1;8
VIP;GO:0034453;microtubule anchoring;4/292;27/18862;0.00074559;0.022370895;0.019639452;CEP350/GCC2/NIN/NINL;4
VIP;GO:0034976;response to endoplasmic reticulum stress;13/292;296/18862;0.000751028;0.022370895;0.019639452;EDEM3/ERLEC1/ERMP1/ERP44/FOXRED2/HYOU1/OS9/TOR1A/UBXN8/UGGT2/USP13/WFS1/YIF1A;13
VIP;GO:0006401;RNA catabolic process;16/292;414/18862;0.000772495;0.022799221;0.02001548;CSDE1/EXOSC2/EXOSC3/EXOSC5/EXOSC8/FASTKD5/GIGYF2/LARP1/LARP4B/MOV10/NUP214/PABPC1/PABPC4/PSMD8/RPL36/UPF1;16
VIP;GO:0006515;protein quality control for misfolded or incompletely synthesized proteins;4/292;28/18862;0.000859346;0.025131973;0.022063408;NGLY1/TOR1A/UGGT2/ZYG11B;4
VIP;GO:0043467;regulation of generation of precursor metabolites and energy;9/292;160/18862;0.000887102;0.025502192;0.022388424;GHITM/IDE/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;9
VIP;GO:0006364;rRNA processing;11/292;228/18862;0.00088786;0.025502192;0.022388424;DDX10/DDX21/EXOSC2/EXOSC3/EXOSC5/EXOSC8/MDN1/MPHOSPH10/NGDN/NOL10/RRP9;11
VIP;GO:0007098;centrosome cycle;8/292;129/18862;0.00090709;0.025823969;0.022670913;CDK5RAP2/CEP135/CEP250/CEP68/CHMP2A/GOLGA2/NIN/NUP62;8
VIP;GO:0034982;mitochondrial protein processing;3/292;13/18862;0.000936074;0.025959917;0.022790261;PMPCA/PMPCB/STOML2;3
VIP;GO:0090161;Golgi ribbon formation;3/292;13/18862;0.000936074;0.025959917;0.022790261;GCC2/GOLGA2/TMED5;3
VIP;GO:1904668;positive regulation of ubiquitin protein ligase activity;3/292;13/18862;0.000936074;0.025959917;0.022790261;GOLGA2/GORASP1/RAB1A;3
VIP;GO:0042176;regulation of protein catabolic process;15/292;383/18862;0.000980744;0.026676672;0.023419502;ADAM9/BAG5/CSNK2A2/GPX1/HECTD1/IDE/MYCBP2/PRKACA/RAB7A/RBX1/RDX/RNF41/USP13/VPS11/ZYG11B;15
VIP;GO:0006517;protein deglycosylation;4/292;29/18862;0.000984805;0.026676672;0.023419502;EDEM3/NGLY1/OS9/UGGT2;4
VIP;GO:0097006;regulation of plasma lipoprotein particle levels;7/292;101/18862;0.000986796;0.026676672;0.023419502;ACSL3/AP2A2/AP2M1/HMOX1/NPC2/PRKACA/SCARB1;7
VIP;GO:0006487;protein N-linked glycosylation;6/292;74/18862;0.001002672;0.026764595;0.02349669;ALG11/ALG5/ALG8/GORASP1/MOGS/UGGT2;6
VIP;GO:0031331;positive regulation of cellular catabolic process;15/292;384/18862;0.001006688;0.026764595;0.02349669;ADAM9/FYCO1/GIGYF2/HECTD1/HMOX1/LARP1/MOV10/PABPC1/RBX1/RDX/TBK1/UPF1/USP13/VPS11/ZYG11B;15
VIP;GO:0043628;ncRNA 3'-end processing;5/292;50/18862;0.001029773;0.027153924;0.023838482;EXOSC2/EXOSC3/EXOSC5/EXOSC8/LARP7;5
VIP;GO:0006999;nuclear pore organization;3/292;14/18862;0.001177776;0.030098976;0.026423949;NUP54/NUP98/RTN4;3
VIP;GO:0035437;maintenance of protein localization in endoplasmic reticulum;3/292;14/18862;0.001177776;0.030098976;0.026423949;GPAA1/OS9/TAPT1;3
VIP;GO:0099638;endosome to plasma membrane protein transport;3/292;14/18862;0.001177776;0.030098976;0.026423949;GRIPAP1/RAB7A/RAB8A;3
VIP;GO:0016236;macroautophagy;13/292;311/18862;0.001178884;0.030098976;0.026423949;ATP6V1A/CHMP2A/CSNK2A2/CSNK2B/FYCO1/HMOX1/LARP1/PRKACA/RAB1A/RAB7A/RNF41/TBK1/TMEM39B;13
VIP;GO:0006998;nuclear envelope organization;5/292;52/18862;0.001231821;0.030800117;0.027039482;CHMP2A/NEK9/SUN2/TOR1A/TOR1AIP1;5
VIP;GO:0046785;microtubule polymerization;6/292;77/18862;0.001234726;0.030800117;0.027039482;AKAP9/CDK5RAP2/GOLGA2/NIN/TUBGCP2/TUBGCP3;6
VIP;GO:0046034;ATP metabolic process;13/292;313/18862;0.001248892;0.030800117;0.027039482;ATP1B1/ATP6V1A/GHITM/NDUFAF1/NDUFB9/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1/STOML2;13
VIP;GO:0034504;protein localization to nucleus;12/292;275/18862;0.001255807;0.030800117;0.027039482;HEATR3/LARP7/MEPCE/NUP214/NUP54/NUP62/NUP88/NUP98/NUTF2/SUN2/TOR1A/TOR1AIP1;12
VIP;GO:0016072;rRNA metabolic process;11/292;238/18862;0.001256553;0.030800117;0.027039482;DDX10/DDX21/EXOSC2/EXOSC3/EXOSC5/EXOSC8/MDN1/MPHOSPH10/NGDN/NOL10/RRP9;11
VIP;GO:0034472;snRNA 3'-end processing;4/292;31/18862;0.001273365;0.030800117;0.027039482;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:1990126;retrograde transport, endosome to plasma membrane;4/292;31/18862;0.001273365;0.030800117;0.027039482;GRIPAP1/RAB7A/RAB8A/VPS39;4
VIP;GO:0030010;establishment of cell polarity;8/292;137/18862;0.001338024;0.032007129;0.028099121;ARF6/CDK5RAP2/ITGB1/MARK2/RAB10/RHOA/RNF41/SLC9A3R1;8
VIP;GO:0090151;establishment of protein localization to mitochondrial membrane;5/292;53/18862;0.001343165;0.032007129;0.028099121;AP3B1/BCS1L/TIMM10/TIMM8B/TIMM9;5
VIP;GO:0016197;endosomal transport;11/292;242/18862;0.001435568;0.033787176;0.029661827;AP3B1/ARF6/CHMP2A/ERC1/GCC2/GRIPAP1/RAB10/RAB14/RAB7A/RAB8A/VPS39;11
VIP;GO:0006888;endoplasmic reticulum to Golgi vesicle-mediated transport;10/292;206/18862;0.001438869;0.033787176;0.029661827;ERGIC1/GOLGA2/GOLGB1/GORASP1/HYOU1/LMAN2/RAB1A/SCAP/TMED5/YIF1A;10
VIP;GO:0006163;purine nucleotide metabolic process;16/292;441/18862;0.001490697;0.03475053;0.030507558;AASS/ACSL3/ATP6V1A/DCAKD/FAR2/GPX1/IMPDH2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/PPT1/RAE1/STOML2;16
VIP;GO:0034470;ncRNA processing;15/292;400/18862;0.001507632;0.034892461;0.030632159;DDX10/DDX21/EXOSC2/EXOSC3/EXOSC5/EXOSC8/INTS4/LARP7/MDN1/MPHOSPH10/NGDN/NOL10/PUSL1/RRP9/TRMT1;15
VIP;GO:0006900;vesicle budding from membrane;7/292;109/18862;0.001539928;0.035385336;0.031064855;AP2M1/AP3B1/GOLGA2/GORASP1/RAB1A/RAB7A/SCAP;7
VIP;GO:0043928;exonucleolytic catabolism of deadenylated mRNA;4/292;33/18862;0.001616324;0.03661771;0.032146759;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:0071539;protein localization to centrosome;4/292;33/18862;0.001616324;0.03661771;0.032146759;CEP250/CEP350/GOLGB1/NUP62;4
VIP;GO:0007007;inner mitochondrial membrane organization;5/292;56/18862;0.001721837;0.038735304;0.034005799;DNAJC11/GHITM/TIMM10/TIMM8B/TIMM9;5
VIP;GO:0009150;purine ribonucleotide metabolic process;15/292;408/18862;0.00182777;0.040832888;0.035847271;AASS/ACSL3/ATP6V1A/DCAKD/FAR2/IMPDH2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/PPT1/RAE1/STOML2;15
VIP;GO:0006096;glycolytic process;7/292;114/18862;0.001992276;0.04417788;0.038783847;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0000291;nuclear-transcribed mRNA catabolic process, exonucleolytic;4/292;35/18862;0.002018697;0.04417788;0.038783847;EXOSC2/EXOSC3/EXOSC5/EXOSC8;4
VIP;GO:1905508;protein localization to microtubule organizing center;4/292;35/18862;0.002018697;0.04417788;0.038783847;CEP250/CEP350/GOLGB1/NUP62;4
VIP;GO:0006757;ATP generation from ADP;7/292;115/18862;0.002093939;0.045514877;0.039957599;NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/RAE1;7
VIP;GO:0007051;spindle organization;9/292;182/18862;0.002169272;0.046168147;0.040531106;CHMP2A/GOLGA2/NUP62/PCNT/RAE1/RHOA/SUN2/TUBGCP2/TUBGCP3;9
VIP;GO:0018208;peptidyl-proline modification;5/292;59/18862;0.002173437;0.046168147;0.040531106;CWC27/FKBP10/FKBP15/FKBP7/PPIL3;5
VIP;GO:0033260;nuclear DNA replication;5/292;59/18862;0.002173437;0.046168147;0.040531106;POLA1/POLA2/PRIM1/PRIM2/UPF1;5
VIP;GO:0007029;endoplasmic reticulum organization;6/292;86/18862;0.002181398;0.046168147;0.040531106;LMAN2/RAB10/RAB18/REEP5/REEP6/RTN4;6
VIP;GO:1903725;regulation of phospholipid metabolic process;4/292;36/18862;0.002243712;0.047176617;0.041416443;ACSL3/DNAJC19/SCARB1/STOML2;4
VIP;GO:0072521;purine-containing compound metabolic process;16/292;460/18862;0.002280541;0.047639616;0.041822911;AASS/ACSL3/ATP6V1A/DCAKD/FAR2/GPX1/IMPDH2/NUP210/NUP214/NUP54/NUP62/NUP88/NUP98/PPT1/RAE1/STOML2;16
VIP;GO:0007052;mitotic spindle organization;7/292;118/18862;0.002423131;0.049969318;0.043868161;CHMP2A/GOLGA2/NUP62/PCNT/RAE1/RHOA/SUN2;7
VIP;GO:0031398;positive regulation of protein ubiquitination;7/292;118/18862;0.002423131;0.049969318;0.043868161;GOLGA2/GORASP1/MYCBP2/NDFIP2/RAB1A/RBX1/WFS1;7
NIP;hsa04114;Oocyte meiosis;Sept-86;131/8101;9.22E-06;0.001155639;0.001084101;CALM1/MAD2L1/PRKACB/SKP1/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;9
NIP;hsa04141;Protein processing in endoplasmic reticulum;Oct-86;171/8101;1.20E-05;0.001155639;0.001084101;BAG1/BAG2/DNAJB11/FBXO2/FBXO6/HSPA1A/HSPA2/HSPA5/HSPA8/SKP1;10
NIP;hsa03060;Protein export;Apr-86;23/8101;8.99E-05;0.005782139;0.005424204;HSPA5/SRP14/SRP68/SRP9;4
NIP;hsa04110;Cell cycle;Jul-86;126/8101;0.000361617;0.017448037;0.016367943;MAD2L1/SKP1/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;7
NIP;hsa04915;Estrogen signaling pathway;Jun-86;138/8101;0.003375599;0.126939109;0.119081139;CALM1/HSPA1A/HSPA2/HSPA8/KRT38/PRKACB;6
NIP;hsa04213;Longevity regulating pathway - multiple species;Apr-86;62/8101;0.004135478;0.126939109;0.119081139;HSPA1A/HSPA2/HSPA8/PRKACB;4
NIP;hsa03040;Spliceosome;Jun-86;147/8101;0.004604009;0.126939109;0.119081139;HSPA1A/HSPA2/HSPA8/PPIE/SRSF3/SRSF6;6
NIP;hsa05203;Viral carcinogenesis;Jul-86;204/8101;0.005798373;0.135652032;0.127254701;HPN/PRKACB/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;7
NIP;hsa04390;Hippo signaling pathway;Jun-86;157/8101;0.006325742;0.135652032;0.127254701;WNT5A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;hsa04612;Antigen processing and presentation;Apr-86;78/8101;0.00930491;0.179584757;0.168467839;HSPA1A/HSPA2/HSPA5/HSPA8;4
NIP;hsa04962;Vasopressin-regulated water reabsorption;Mar-86;44/8101;0.011182747;0.196206387;0.184060532;DYNLL1/DYNLL2/PRKACB;3
NIP;hsa04020;Calcium signaling pathway;Jul-86;240/8101;0.013546735;0.21787666;0.20438934;ATP2A1/ATP2B2/CALM1/PDGFRA/PLCD3/PRKACB/TACR3;7
NIP;hsa05150;Staphylococcus aureus infection;Apr-86;96/8101;0.018779611;0.278805;0.261546005;C1QA/C3AR1/DEFA1/KRT38;4
NIP;hsa05134;Legionellosis;Mar-86;57/8101;0.02239489;0.299726554;0.281172442;HSPA1A/HSPA2/HSPA8;3
NIP;hsa05160;Hepatitis C;May-86;157/8101;0.02543475;0.299726554;0.281172442;YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;5
NIP;hsa05020;Prion disease;Jul-86;273/8101;0.025542416;0.299726554;0.281172442;C1QA/HSPA1A/HSPA2/HSPA5/HSPA8/PRKACB/TUBB8;7
NIP;hsa05417;Lipid and atherosclerosis;Jun-86;215/8101;0.026400785;0.299726554;0.281172442;CALM1/CCL3/HSPA1A/HSPA2/HSPA5/HSPA8;6
NIP;hsa04151;PI3K-Akt signaling pathway;Aug-86;354/8101;0.033708304;0.361427922;0.339054282;EFNA4/PDGFRA/RPS6/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;8
NIP;hsa04010;MAPK signaling pathway;Jul-86;294/8101;0.036164775;0.367357974;0.344617243;DUSP16/EFNA4/HSPA1A/HSPA2/HSPA8/PDGFRA/PRKACB;7
NIP;hsa04919;Thyroid hormone signaling pathway;Apr-86;121/8101;0.039420721;0.380409955;0.356861262;ATP2A1/NOTCH2/PLCD3/PRKACB;4
NIP;hsa05132;Salmonella infection;Jun-86;249/8101;0.048541654;0.446120919;0.418504489;BRK1/DYNLL1/DYNLL2/RILP/SKP1/TUBB8;6
NIP;hsa04144;Endocytosis;Jun-86;252/8101;0.05091964;0.446704116;0.419051584;AMPH/HSPA1A/HSPA2/HSPA8/PDGFRA/VPS37D;6
NIP;hsa04910;Insulin signaling pathway;Apr-86;137/8101;0.057481703;0.463246277;0.434569728;CALM1/PRKACB/PRKAR1A/RPS6;4
NIP;hsa01250;Biosynthesis of nucleotide sugars;Feb-86;37/8101;0.0583891;0.463246277;0.434569728;NAGK/UXS1;2
NIP;hsa04371;Apelin signaling pathway;Apr-86;139/8101;0.060005994;0.463246277;0.434569728;APLNR/CALM1/PRKACB/RPS6;4
NIP;hsa04120;Ubiquitin mediated proteolysis;Apr-86;142/8101;0.063902138;0.474350484;0.444986546;FBXO2/COP1/SKP1/UBE2O;4
NIP;hsa04540;Gap junction;Mar-86;88/8101;0.066622643;0.476228523;0.446748328;PDGFRA/PRKACB/TUBB8;3
NIP;hsa04261;Adrenergic signaling in cardiomyocytes;Apr-86;150/8101;0.074927323;0.505265301;0.473987629;ATP2A1/ATP2B2/CALM1/PRKACB;4
NIP;hsa04970;Salivary secretion;Mar-86;93/8101;0.075920693;0.505265301;0.473987629;ATP2B2/CALM1/PRKACB;3
NIP;hsa05414;Dilated cardiomyopathy;Mar-86;96/8101;0.081761255;0.512250007;0.480539958;ATP2A1/LMNA/PRKACB;3
NIP;hsa04150;mTOR signaling pathway;Apr-86;155/8101;0.082278499;0.512250007;0.480539958;ATP6V1D/RPS6/WDR59/WNT5A;4
