Cluster;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
VIP;hsa05020;Prion disease;Jul-86;273/8101;0.025542416;0.299726554;0.281172442;C1QA/HSPA1A/HSPA2/HSPA5/HSPA8/PRKACB/TUBB8;7
VIP;hsa05417;Lipid and atherosclerosis;Jun-86;215/8101;0.026400785;0.299726554;0.281172442;CALM1/CCL3/HSPA1A/HSPA2/HSPA5/HSPA8;6
VIP;hsa04151;PI3K-Akt signaling pathway;Aug-86;354/8101;0.033708304;0.361427922;0.339054282;EFNA4/PDGFRA/RPS6/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;8
VIP;hsa04010;MAPK signaling pathway;Jul-86;294/8101;0.036164775;0.367357974;0.344617243;DUSP16/EFNA4/HSPA1A/HSPA2/HSPA8/PDGFRA/PRKACB;7
VIP;hsa04919;Thyroid hormone signaling pathway;Apr-86;121/8101;0.039420721;0.380409955;0.356861262;ATP2A1/NOTCH2/PLCD3/PRKACB;4
VIP;hsa05132;Salmonella infection;Jun-86;249/8101;0.048541654;0.446120919;0.418504489;BRK1/DYNLL1/DYNLL2/RILP/SKP1/TUBB8;6
VIP;hsa04144;Endocytosis;Jun-86;252/8101;0.05091964;0.446704116;0.419051584;AMPH/HSPA1A/HSPA2/HSPA8/PDGFRA/VPS37D;6
VIP;hsa04910;Insulin signaling pathway;Apr-86;137/8101;0.057481703;0.463246277;0.434569728;CALM1/PRKACB/PRKAR1A/RPS6;4
VIP;hsa01250;Biosynthesis of nucleotide sugars;Feb-86;37/8101;0.0583891;0.463246277;0.434569728;NAGK/UXS1;2
VIP;hsa04371;Apelin signaling pathway;Apr-86;139/8101;0.060005994;0.463246277;0.434569728;APLNR/CALM1/PRKACB/RPS6;4
VIP;hsa04120;Ubiquitin mediated proteolysis;Apr-86;142/8101;0.063902138;0.474350484;0.444986546;FBXO2/COP1/SKP1/UBE2O;4
VIP;hsa04540;Gap junction;Mar-86;88/8101;0.066622643;0.476228523;0.446748328;PDGFRA/PRKACB/TUBB8;3
VIP;hsa04261;Adrenergic signaling in cardiomyocytes;Apr-86;150/8101;0.074927323;0.505265301;0.473987629;ATP2A1/ATP2B2/CALM1/PRKACB;4
VIP;hsa04970;Salivary secretion;Mar-86;93/8101;0.075920693;0.505265301;0.473987629;ATP2B2/CALM1/PRKACB;3
VIP;hsa05414;Dilated cardiomyopathy;Mar-86;96/8101;0.081761255;0.512250007;0.480539958;ATP2A1/LMNA/PRKACB;3
VIP;hsa04150;mTOR signaling pathway;Apr-86;155/8101;0.082278499;0.512250007;0.480539958;ATP6V1D/RPS6/WDR59/WNT5A;4
VIP;hsa04925;Aldosterone synthesis and secretion;Mar-86;98/8101;0.085760494;0.517242977;0.485223845;ATP2B2/CALM1/PRKACB;3
VIP;hsa04916;Melanogenesis;Mar-86;101/8101;0.091913251;0.521106966;0.48884864;CALM1/PRKACB/WNT5A;3
VIP;hsa00520;Amino sugar and nucleotide sugar metabolism;Feb-86;49/8101;0.095124642;0.521106966;0.48884864;NAGK/UXS1;2
VIP;hsa00270;Cysteine and methionine metabolism;Feb-86;50/8101;0.098429216;0.521106966;0.48884864;AHCY/GOT1;2
VIP;hsa05110;Vibrio cholerae infection;Feb-86;50/8101;0.098429216;0.521106966;0.48884864;ATP6V1D/PRKACB;2
VIP;hsa04014;Ras signaling pathway;May-86;232/8101;0.099901336;0.521106966;0.48884864;CALM1/EFNA4/PDGFRA/PRKACB/RALBP1;5
VIP;hsa04961;Endocrine and other factor-regulated calcium reabsorption;Feb-86;53/8101;0.108532358;0.551230133;0.517107079;ATP2B2/PRKACB;2
VIP;hsa05145;Toxoplasmosis;Mar-86;112/8101;0.115959222;0.573849482;0.538326211;HSPA1A/HSPA2/HSPA8;3
VIP;hsa04360;Axon guidance;Apr-86;182/8101;0.127691757;0.610258558;0.572481439;ABLIM1/EFNA4/EFNB1/WNT5A;4
VIP;hsa03450;Non-homologous end-joining;Jan-86;13/8101;0.129640419;0.610258558;0.572481439;DCLRE1C;1
VIP;hsa04978;Mineral absorption;Feb-86;60/8101;0.133083818;0.61155183;0.573694654;ATP2B2/FTL;2
VIP;hsa00230;Purine metabolism;Mar-86;129/8101;0.157123965;0.647149437;0.607088646;ADA2/IMPDH1/PRPS2;3
VIP;hsa04720;Long-term potentiation;Feb-86;67/8101;0.158748804;0.647149437;0.607088646;CALM1/PRKACB;2
VIP;hsa00360;Phenylalanine metabolism;Jan-86;17/8101;0.16607908;0.647149437;0.607088646;GOT1;1
VIP;hsa04924;Renin secretion;Feb-86;69/8101;0.166245715;0.647149437;0.607088646;CALM1/PRKACB;2
VIP;hsa05031;Amphetamine addiction;Feb-86;69/8101;0.166245715;0.647149437;0.607088646;CALM1/PRKACB;2
VIP;hsa05162;Measles;Mar-86;139/8101;0.183189119;0.647149437;0.607088646;HSPA1A/HSPA2/HSPA8;3
VIP;hsa01210;2-Oxocarboxylic acid metabolism;Jan-86;19/8101;0.183728787;0.647149437;0.607088646;GOT1;1
VIP;hsa01230;Biosynthesis of amino acids;Feb-86;75/8101;0.189082452;0.647149437;0.607088646;GOT1/PRPS2;2
VIP;hsa04918;Thyroid hormone synthesis;Feb-86;75/8101;0.189082452;0.647149437;0.607088646;HSPA5/PRKACB;2
VIP;hsa05214;Glioma;Feb-86;75/8101;0.189082452;0.647149437;0.607088646;CALM1/PDGFRA;2
VIP;hsa00532;Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate;Jan-86;20/8101;0.192414672;0.647149437;0.607088646;CSGALNACT2;1
VIP;hsa04971;Gastric acid secretion;Feb-86;76/8101;0.192931606;0.647149437;0.607088646;CALM1/PRKACB;2
VIP;hsa05133;Pertussis;Feb-86;76/8101;0.192931606;0.647149437;0.607088646;C1QA/CALM1;2
VIP;hsa05412;Arrhythmogenic right ventricular cardiomyopathy;Feb-86;77/8101;0.196791254;0.647149437;0.607088646;ATP2A1/LMNA;2
VIP;hsa04721;Synaptic vesicle cycle;Feb-86;78/8101;0.20066075;0.647149437;0.607088646;ATP6V1D/SLC1A1;2
VIP;hsa00770;Pantothenate and CoA biosynthesis;Jan-86;21/8101;0.201009195;0.647149437;0.607088646;VNN2;1
VIP;hsa04024;cAMP signaling pathway;Apr-86;219/8101;0.203033927;0.647149437;0.607088646;ATP2A1/ATP2B2/CALM1/PRKACB;4
VIP;hsa01521;EGFR tyrosine kinase inhibitor resistance;Feb-86;79/8101;0.204539459;0.647149437;0.607088646;PDGFRA/RPS6;2
VIP;hsa03018;RNA degradation;Feb-86;79/8101;0.204539459;0.647149437;0.607088646;C1D/PABPC5;2
VIP;hsa00220;Arginine biosynthesis;Jan-86;22/8101;0.209513305;0.652194642;0.611821535;GOT1;1
VIP;hsa05163;Human cytomegalovirus infection;Apr-86;225/8101;0.216352016;0.659329901;0.618515096;CALM1/CCL3/PDGFRA/PRKACB;4
VIP;hsa04145;Phagosome;Mar-86;152/8101;0.218637895;0.659329901;0.618515096;ATP6V1D/RILP/TUBB8;3
VIP;hsa04610;Complement and coagulation cascades;Feb-86;85/8101;0.227971186;0.662041463;0.621058804;C1QA/C3AR1;2
VIP;hsa05171;Coronavirus disease - COVID-19;Apr-86;232/8101;0.232189423;0.662041463;0.621058804;C1QA/C3AR1/RPL17/RPS6;4
VIP;hsa00563;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Jan-86;26/8101;0.242644275;0.662041463;0.621058804;PIGT;1
VIP;hsa05161;Hepatitis B;Mar-86;162/8101;0.246813597;0.662041463;0.621058804;YWHAB/YWHAQ/YWHAZ;3
VIP;hsa05410;Hypertrophic cardiomyopathy;Feb-86;90/8101;0.247643691;0.662041463;0.621058804;ATP2A1/LMNA;2
VIP;hsa04966;Collecting duct acid secretion;Jan-86;27/8101;0.250710231;0.662041463;0.621058804;ATP6V1D;1
VIP;hsa04310;Wnt signaling pathway;Mar-86;166/8101;0.258248618;0.662041463;0.621058804;PRKACB/SKP1/WNT5A;3
VIP;hsa04912;GnRH signaling pathway;Feb-86;93/8101;0.259481264;0.662041463;0.621058804;CALM1/PRKACB;2
VIP;hsa05323;Rheumatoid arthritis;Feb-86;93/8101;0.259481264;0.662041463;0.621058804;ATP6V1D/CCL3;2
VIP;hsa04022;cGMP-PKG signaling pathway;Mar-86;167/8101;0.261119414;0.662041463;0.621058804;ATP2A1/ATP2B2/CALM1;3
VIP;hsa04744;Phototransduction;Jan-86;29/8101;0.26658828;0.662041463;0.621058804;CALM1;1
VIP;hsa00030;Pentose phosphate pathway;Jan-86;30/8101;0.274402131;0.662041463;0.621058804;PRPS2;1
VIP;hsa03015;mRNA surveillance pathway;Feb-86;97/8101;0.275277353;0.662041463;0.621058804;GSPT2/PABPC5;2
VIP;hsa04070;Phosphatidylinositol signaling system;Feb-86;97/8101;0.275277353;0.662041463;0.621058804;CALM1/PLCD3;2
VIP;hsa04713;Circadian entrainment;Feb-86;97/8101;0.275277353;0.662041463;0.621058804;CALM1/PRKACB;2
VIP;hsa01522;Endocrine resistance;Feb-86;98/8101;0.279225621;0.662041463;0.621058804;NOTCH2/PRKACB;2
VIP;hsa04750;Inflammatory mediator regulation of TRP channels;Feb-86;98/8101;0.279225621;0.662041463;0.621058804;CALM1/PRKACB;2
VIP;hsa04710;Circadian rhythm;Jan-86;31/8101;0.28213369;0.662041463;0.621058804;SKP1;1
VIP;hsa04061;Viral protein interaction with cytokine and cytokine receptor;Feb-86;100/8101;0.287118247;0.662041463;0.621058804;CCL18/CCL3;2
VIP;hsa04914;Progesterone-mediated oocyte maturation;Feb-86;102/8101;0.295002932;0.662041463;0.621058804;MAD2L1/PRKACB;2
VIP;hsa04972;Pancreatic secretion;Feb-86;102/8101;0.295002932;0.662041463;0.621058804;ATP2A1/ATP2B2;2
VIP;hsa05142;Chagas disease;Feb-86;102/8101;0.295002932;0.662041463;0.621058804;C1QA/CCL3;2
VIP;hsa04974;Protein digestion and absorption;Feb-86;103/8101;0.298941306;0.663168643;0.622116208;KCNE3/SLC1A1;2
VIP;hsa05012;Parkinson disease;Apr-86;266/8101;0.312434882;0.682351575;0.64011165;CALM1/HSPA5/PRKACB/TUBB8;4
VIP;hsa04922;Glucagon signaling pathway;Feb-86;107/8101;0.314659535;0.682351575;0.64011165;CALM1/PRKACB;2
VIP;hsa00350;Tyrosine metabolism;Jan-86;36/8101;0.319586784;0.685336103;0.642911425;GOT1;1
VIP;hsa00250;Alanine, aspartate and glutamate metabolism;Jan-86;37/8101;0.326842275;0.693183964;0.650273476;GOT1;1
VIP;hsa04062;Chemokine signaling pathway;Mar-86;192/8101;0.333811158;0.693183964;0.650273476;CCL18/CCL3/PRKACB;3
VIP;hsa05340;Primary immunodeficiency;Jan-86;38/8101;0.334021289;0.693183964;0.650273476;DCLRE1C;1
VIP;hsa04724;Glutamatergic synapse;Feb-86;114/8101;0.341976813;0.702143883;0.658678745;PRKACB/SLC1A1;2
VIP;hsa01200;Carbon metabolism;Feb-86;115/8101;0.34585438;0.702630478;0.659135218;GOT1/PRPS2;2
VIP;hsa04216;Ferroptosis;Jan-86;41/8101;0.355107389;0.713913813;0.669720075;FTL;1
VIP;hsa05205;Proteoglycans in cancer;Mar-86;205/8101;0.371732773;0.739633249;0.693847389;PRKACB/RPS6/WNT5A;3
VIP;hsa04015;Rap1 signaling pathway;Mar-86;210/8101;0.386236015;0.74498098;0.698864077;CALM1/EFNA4/PDGFRA;3
VIP;hsa05207;Chemical carcinogenesis - receptor activation;Mar-86;212/8101;0.392017914;0.74498098;0.698864077;NOTCH2/PRKACB/PTGES3;3
VIP;hsa05022;Pathways of neurodegeneration - multiple diseases;Jun-86;476/8101;0.393600893;0.74498098;0.698864077;ALS2/ATP2A1/CALM1/HSPA5/TUBB8/WNT5A;6
VIP;hsa05030;Cocaine addiction;Jan-86;49/8101;0.408165013;0.74498098;0.698864077;PRKACB;1
VIP;hsa04728;Dopaminergic synapse;Feb-86;132/8101;0.410469851;0.74498098;0.698864077;CALM1/PRKACB;2
VIP;hsa04979;Cholesterol metabolism;Jan-86;50/8101;0.414486151;0.74498098;0.698864077;LIPG;1
VIP;hsa05144;Malaria;Jan-86;50/8101;0.414486151;0.74498098;0.698864077;GYPA;1
VIP;hsa04270;Vascular smooth muscle contraction;Feb-86;134/8101;0.417880337;0.74498098;0.698864077;CALM1/PRKACB;2
VIP;hsa05206;MicroRNAs in cancer;Apr-86;310/8101;0.419206516;0.74498098;0.698864077;EFNA4/NOTCH2/PDGFRA/ST14;4
VIP;hsa05166;Human T-cell leukemia virus 1 infection;Mar-86;222/8101;0.420717026;0.74498098;0.698864077;MAD2L1/PRKACB/RAN;3
VIP;hsa00330;Arginine and proline metabolism;Jan-86;51/8101;0.420740554;0.74498098;0.698864077;GOT1;1
VIP;hsa04913;Ovarian steroidogenesis;Jan-86;51/8101;0.420740554;0.74498098;0.698864077;PRKACB;1
VIP;hsa04936;Alcoholic liver disease;Feb-86;142/8101;0.447049651;0.777231054;0.72911776;C1QA/C3AR1;2
VIP;hsa04340;Hedgehog signaling pathway;Jan-86;56/8101;0.451035638;0.777231054;0.72911776;PRKACB;1
VIP;hsa04923;Regulation of lipolysis in adipocytes;Jan-86;56/8101;0.451035638;0.777231054;0.72911776;PRKACB;1
VIP;hsa05224;Breast cancer;Feb-86;147/8101;0.464871416;0.787472759;0.738725468;NOTCH2/WNT5A;2
VIP;hsa04330;Notch signaling pathway;Jan-86;59/8101;0.468455327;0.787472759;0.738725468;NOTCH2;1
VIP;hsa05165;Human papillomavirus infection;Apr-86;331/8101;0.46921952;0.787472759;0.738725468;ATP6V1D/NOTCH2/PRKACB/WNT5A;4
VIP;hsa00561;Glycerolipid metabolism;Jan-86;61/8101;0.479763765;0.791405185;0.742414463;LIPG;1
VIP;hsa00590;Arachidonic acid metabolism;Jan-86;61/8101;0.479763765;0.791405185;0.742414463;PTGES3;1
VIP;hsa04921;Oxytocin signaling pathway;Feb-86;154/8101;0.489256831;0.792401319;0.743348933;CALM1/PRKACB;2
VIP;hsa05217;Basal cell carcinoma;Jan-86;63/8101;0.490834359;0.792401319;0.743348933;WNT5A;1
VIP;hsa04934;Cushing syndrome;Feb-86;155/8101;0.492684758;0.792401319;0.743348933;PRKACB/WNT5A;2
VIP;hsa04927;Cortisol synthesis and secretion;Jan-86;65/8101;0.501672052;0.795544275;0.746297329;PRKACB;1
VIP;hsa03010;Ribosome;Feb-86;158/8101;0.502882909;0.795544275;0.746297329;RPL17/RPS6;2
VIP;hsa00970;Aminoacyl-tRNA biosynthesis;Jan-86;66/8101;0.507005079;0.795544555;0.746297592;HARS2;1
VIP;hsa04080;Neuroactive ligand-receptor interaction;Apr-86;350/8101;0.513150775;0.798694352;0.749252405;APLNR/C3AR1/SLURP1/TACR3;4
VIP;hsa05120;Epithelial cell signaling in Helicobacter pylori infection;Jan-86;70/8101;0.527778889;0.808343859;0.758304575;ATP6V1D;1
VIP;hsa05230;Central carbon metabolism in cancer;Jan-86;70/8101;0.527778889;0.808343859;0.758304575;PDGFRA;1
VIP;hsa05218;Melanoma;Jan-86;72/8101;0.537838925;0.808343859;0.758304575;PDGFRA;1
VIP;hsa00562;Inositol phosphate metabolism;Jan-86;73/8101;0.542789212;0.808343859;0.758304575;PLCD3;1
VIP;hsa04115;p53 signaling pathway;Jan-86;73/8101;0.542789212;0.808343859;0.758304575;COP1;1
VIP;hsa05014;Amyotrophic lateral sclerosis;Apr-86;364/8101;0.54448032;0.808343859;0.758304575;ALS2/HSPA5/SRSF3/TUBB8;4
VIP;hsa05212;Pancreatic cancer;Jan-86;76/8101;0.55732778;0.821101234;0.770272224;RALBP1;1
VIP;hsa00983;Drug metabolism - other enzymes;Jan-86;80/8101;0.576003967;0.83231654;0.780793263;IMPDH1;1
VIP;hsa05010;Alzheimer disease;Apr-86;384/8101;0.587432955;0.83231654;0.780793263;ATP2A1/CALM1/TUBB8/WNT5A;4
VIP;hsa05034;Alcoholism;Feb-86;187/8101;0.594523372;0.83231654;0.780793263;CALM1/PRKACB;2
VIP;hsa04742;Taste transduction;Jan-86;86/8101;0.602567411;0.83231654;0.780793263;PRKACB;1
VIP;hsa04911;Insulin secretion;Jan-86;86/8101;0.602567411;0.83231654;0.780793263;PRKACB;1
VIP;hsa04260;Cardiac muscle contraction;Jan-86;87/8101;0.606831816;0.83231654;0.780793263;ATP2A1;1
VIP;hsa04060;Cytokine-cytokine receptor interaction;Mar-86;295/8101;0.611432354;0.83231654;0.780793263;CCL18/CCL3/EDA;3
VIP;hsa04211;Longevity regulating pathway;Jan-86;89/8101;0.615225409;0.83231654;0.780793263;PRKACB;1
VIP;hsa04727;GABAergic synapse;Jan-86;89/8101;0.615225409;0.83231654;0.780793263;PRKACB;1
VIP;hsa04976;Bile secretion;Jan-86;89/8101;0.615225409;0.83231654;0.780793263;PRKACB;1
VIP;hsa05130;Pathogenic Escherichia coli infection;Feb-86;197/8101;0.623112351;0.83231654;0.780793263;BRK1/TUBB8;2
VIP;hsa05032;Morphine addiction;Jan-86;91/8101;0.62344185;0.83231654;0.780793263;PRKACB;1
VIP;hsa04658;Th1 and Th2 cell differentiation;Jan-86;92/8101;0.627484796;0.83231654;0.780793263;NOTCH2;1
VIP;hsa04350;TGF-beta signaling pathway;Jan-86;94/8101;0.635442415;0.83231654;0.780793263;SKP1;1
VIP;hsa04666;Fc gamma R-mediated phagocytosis;Jan-86;97/8101;0.64706484;0.83231654;0.780793263;AMPH;1
VIP;hsa05215;Prostate cancer;Jan-86;97/8101;0.64706484;0.83231654;0.780793263;PDGFRA;1
VIP;hsa05231;Choline metabolism in cancer;Jan-86;98/8101;0.650856997;0.83231654;0.780793263;PDGFRA;1
VIP;hsa04640;Hematopoietic cell lineage;Jan-86;99/8101;0.654608877;0.83231654;0.780793263;GYPA;1
VIP;hsa04933;AGE-RAGE signaling pathway in diabetic complications;Jan-86;100/8101;0.658320904;0.83231654;0.780793263;PLCD3;1
VIP;hsa05170;Human immunodeficiency virus 1 infection;Feb-86;212/8101;0.663085722;0.83231654;0.780793263;CALM1/SKP1;2
VIP;hsa05146;Amoebiasis;Jan-86;102/8101;0.665627065;0.83231654;0.780793263;PRKACB;1
VIP;hsa04064;NF-kappa B signaling pathway;Jan-86;104/8101;0.672778776;0.83231654;0.780793263;EDA;1
VIP;hsa04620;Toll-like receptor signaling pathway;Jan-86;104/8101;0.672778776;0.83231654;0.780793263;CCL3;1
VIP;hsa04625;C-type lectin receptor signaling pathway;Jan-86;104/8101;0.672778776;0.83231654;0.780793263;CALM1;1
VIP;hsa04810;Regulation of actin cytoskeleton;Feb-86;218/8101;0.678110305;0.83231654;0.780793263;BRK1/PDGFRA;2
VIP;hsa04928;Parathyroid hormone synthesis, secretion and action;Jan-86;106/8101;0.679779264;0.83231654;0.780793263;PRKACB;1
VIP;hsa03013;Nucleocytoplasmic transport;Jan-86;108/8101;0.68663169;0.83231654;0.780793263;RAN;1
VIP;hsa03008;Ribosome biogenesis in eukaryotes;Jan-86;109/8101;0.690003349;0.83231654;0.780793263;RAN;1
VIP;hsa04066;HIF-1 signaling pathway;Jan-86;109/8101;0.690003349;0.83231654;0.780793263;RPS6;1
VIP;hsa04725;Cholinergic synapse;Jan-86;113/8101;0.70313514;0.841950977;0.789831295;PRKACB;1
VIP;hsa04726;Serotonergic synapse;Jan-86;115/8101;0.709493309;0.841950977;0.789831295;PRKACB;1
VIP;hsa04714;Thermogenesis;Feb-86;232/8101;0.711077768;0.841950977;0.789831295;PRKACB/RPS6;2
VIP;hsa04722;Neurotrophin signaling pathway;Jan-86;119/8101;0.721808582;0.844297311;0.792032383;CALM1;1
VIP;hsa04935;Growth hormone synthesis, secretion and action;Jan-86;119/8101;0.721808582;0.844297311;0.792032383;PRKACB;1
VIP;hsa04611;Platelet activation;Jan-86;124/8101;0.736479212;0.856267999;0.803262044;PRKACB;1
VIP;hsa05131;Shigellosis;Feb-86;247/8101;0.743264631;0.858982478;0.805808488;PLCD3/SKP1;2
VIP;hsa04926;Relaxin signaling pathway;Jan-86;129/8101;0.7503847;0.861457426;0.808130228;PRKACB;1
VIP;hsa04650;Natural killer cell mediated cytotoxicity;Jan-86;131/8101;0.755741563;0.861457426;0.808130228;HCST;1
VIP;hsa00190;Oxidative phosphorylation;Jan-86;134/8101;0.763564507;0.861457426;0.808130228;ATP6V1D;1
VIP;hsa04210;Apoptosis;Jan-86;136/8101;0.768641693;0.861457426;0.808130228;LMNA;1
VIP;hsa05322;Systemic lupus erythematosus;Jan-86;136/8101;0.768641693;0.861457426;0.808130228;C1QA;1
VIP;hsa05418;Fluid shear stress and atherosclerosis;Jan-86;139/8101;0.776056081;0.861457426;0.808130228;CALM1;1
VIP;hsa04140;Autophagy - animal;Jan-86;141/8101;0.780868028;0.861457426;0.808130228;PRKACB;1
VIP;hsa04550;Signaling pathways regulating pluripotency of stem cells;Jan-86;143/8101;0.785577757;0.861457426;0.808130228;WNT5A;1
VIP;hsa05017;Spinocerebellar ataxia;Jan-86;143/8101;0.785577757;0.861457426;0.808130228;ATP2A1;1
VIP;hsa04072;Phospholipase D signaling pathway;Jan-86;148/8101;0.796918845;0.861615473;0.808278492;PDGFRA;1
VIP;hsa04723;Retrograde endocannabinoid signaling;Jan-86;148/8101;0.796918845;0.861615473;0.808278492;PRKACB;1
VIP;hsa05226;Gastric cancer;Jan-86;149/8101;0.799114869;0.861615473;0.808278492;WNT5A;1
VIP;hsa04218;Cellular senescence;Jan-86;156/8101;0.813843485;0.87262107;0.818602803;CALM1;1
VIP;hsa04217;Necroptosis;Jan-86;159/8101;0.819824138;0.87417712;0.820062529;FTL;1
VIP;hsa04630;JAK-STAT signaling pathway;Jan-86;162/8101;0.825614815;0.875514611;0.821317224;PDGFRA;1
VIP;hsa05225;Hepatocellular carcinoma;Jan-86;168/8101;0.836649913;0.879430468;0.824990676;WNT5A;1
VIP;hsa04530;Tight junction;Jan-86;169/8101;0.838420757;0.879430468;0.824990676;PRKACB;1
VIP;hsa05152;Tuberculosis;Jan-86;180/8101;0.856690787;0.893736875;0.838411467;CALM1;1
VIP;hsa04621;NOD-like receptor signaling pathway;Jan-86;184/8101;0.862815056;0.89528659;0.83986525;DEFA1;1
VIP;hsa05202;Transcriptional misregulation in cancer;Jan-86;192/8101;0.874297995;0.900341912;0.84460763;DEFA1;1
VIP;hsa05167;Kaposi sarcoma-associated herpesvirus infection;Jan-86;194/8101;0.877016992;0.900341912;0.84460763;CALM1;1
VIP;hsa04510;Focal adhesion;Jan-86;201/8101;0.886083601;0.902580205;0.846707365;PDGFRA;1
VIP;hsa05415;Diabetic cardiomyopathy;Jan-86;203/8101;0.888550461;0.902580205;0.846707365;ATP2A1;1
VIP;hsa04740;Olfactory transduction;Feb-86;441/8101;0.952507294;0.962481192;0.902900273;CALM1/PRKACB;2
VIP;hsa05016;Huntington disease;Jan-86;306/8101;0.964180766;0.969202541;0.909205547;TUBB8;1
VIP;hsa05168;Herpes simplex virus 1 infection;Feb-86;495/8101;0.971439892;0.971439892;0.911304398;SRSF3/SRSF6;2